2025-03-28,c,C,T,l
2025-03-28,c,G,S,w
2025-03-28,c,DB,D,w
2025-03-28,p,L,F,l
2025-03-28,p,B,E,w
2025-03-28,p,H,M,l
2025-03-29,c,C,T,l
2025-03-29,c,G,S,w
2025-03-29,c,DB,D,l
2025-03-29,p,L,F,l
2025-03-29,p,B,E,l
2025-03-29,p,H,M,l
2025-03-30,c,C,T,w
2025-03-30,c,G,S,w
2025-03-30,c,DB,D,w
2025-03-30,p,L,F,l
2025-03-30,p,B,E,w
2025-03-30,p,H,M,l
2025-04-01,c,T,DB,l
2025-04-01,c,D,G,w
2025-04-01,p,F,H,l
2025-04-02,c,S,C,w
2025-04-02,c,D,G,l
2025-04-02,c,T,DB,d
2025-04-02,p,M,B,l
2025-04-02,p,F,H,w
2025-04-03,c,S,C,w
2025-04-03,c,D,G,l
2025-04-03,c,T,DB,l
2025-04-03,p,E,L,w
2025-04-03,p,M,B,l
2025-04-03,c,G,T,l
2025-04-03,c,S,D,d
2025-04-03,c,C,DB,w
2025-04-03,p,F,B,l
2025-04-03,p,M,E,l
2025-04-03,p,H,L,l
2025-04-04,c,G,T,l
2025-04-04,c,S,D,d
2025-04-04,c,C,DB,w
2025-04-04,p,F,B,l
2025-04-04,p,M,E,l
2025-04-04,p,H,L,l
2025-04-05,c,G,T,l
2025-04-05,c,S,D,w
2025-04-05,c,C,DB,w
2025-04-05,p,F,B,l
2025-04-05,p,M,E,w
2025-04-05,p,H,L,l
2025-04-06,c,G,T,l
2025-04-06,c,S,D,l
2025-04-06,c,C,DB,w
2025-04-06,p,F,B,l
2025-04-06,p,H,L,w
2025-04-06,p,M,E,l
2025-04-08,c,DB,G,d
2025-04-08,c,D,C,d
2025-04-08,c,T,S,l
2025-04-08,p,E,F,l
2025-04-08,p,L,M,l
2025-04-08,p,B,H,l
2025-04-09,c,DB,G,l
2025-04-09,c,D,C,w
2025-04-09,c,T,S,l
2025-04-09,p,E,F,l
2025-04-09,p,L,M,w
2025-04-09,p,B,H,l
